CreatedYear,CreatedMonth,Invested_Value
2028,9,54556876.81242657
2028,10,54880691.74534903
2028,11,55206518.55900738
2028,12,55534370.070243865
2029,1,55864259.17883926
2029,2,56196198.86805624
2029,3,56530202.2051862
2029,4,56866282.34209976
2029,5,57204452.51580094
2029,6,57544726.04898492
2029,7,57887116.35059964
2029,8,58231636.91641097
2029,9,58578301.32957173
2029,10,58927123.261194445
2029,11,59278116.47092794
2029,12,59631294.80753763
2030,1,59986672.20948985
2030,2,60344262.70553991
2030,3,60704080.41532412
2030,4,61066139.54995571
2030,5,61430454.41262472
2030,6,61797039.39920187
2030,7,62165908.99884644
2030,8,62537077.79461821
2030,9,62910560.464093335
2030,10,63286371.7799845
2030,11,63664526.610765055
2030,12,64045039.92129733
2031,1,64427926.77346511
2031,2,64813202.32681036
2031,3,65200881.8391741
2031,4,65590980.66734158
2031,5,65983514.26769178
2031,6,66378498.196851104
2031,7,66775948.11235155
2031,8,67175879.77329318
2031,9,67578309.04101095
2031,10,67983251.87974611
2031,11,68390724.35732192
2031,12,68800742.64582388
2032,1,69213323.02228463
2032,2,69628481.86937317
2032,3,70046235.67608881
2032,4,70466601.03845975
2032,5,70889594.66024616
2032,6,71315233.35364813
2032,7,71743534.04001811
2032,8,72174513.75057831
2032,9,72608189.6271427
2032,10,73044578.92284386
2032,11,73483699.00286475
2032,12,73925567.34517515
2033,1,74370201.54127328
2033,2,74817619.29693206
2033,3,75267838.43295054
2033,4,75720876.88591026
2033,5,76176752.7089366
2033,6,76635484.0724653
2033,7,77097089.265014
2033,8,77561586.69395888
2033,9,78028994.88631667
2033,10,78499332.48953156
2033,11,78972618.27226758
2033,12,79448871.12520626
2034,1,79928110.06184939
2034,2,80410354.21932738
2034,3,80895622.85921283
2034,4,81383935.36833961
2034,5,81875311.25962737
2034,6,82369770.17291145
2034,7,82867331.87577854
2034,8,83368016.26440765
2034,9,83871843.36441691
2034,10,84378833.33171585
2034,11,84889006.4533634
2034,12,85402383.14843173
2035,1,85918983.9688756
2035,2,86438829.60040778
2035,3,86961940.86338013
2035,4,87488338.71367061
2035,5,88018044.24357615
2035,6,88551078.68271162
2035,7,89087463.3989146
2035,8,89627219.89915635
2035,9,90170369.83045876
2035,10,90716934.98081742
2035,11,91266937.28013095
2035,12,91820398.8011364
2036,1,92377341.76035091
2036,2,92937788.51901975
2036,3,93501761.58407073
2036,4,94069283.60907452
2036,5,94640377.39521216
2036,6,95215065.89224844
2036,7,95793372.19951177
2036,8,96375319.56688106
2036,9,96960931.39577876
2036,10,97550231.24017055
2036,11,98143242.80757213
2036,12,98739989.9600621
2037,1,99340496.71530214
2037,2,99944787.24756372
2037,3,100552885.88876182
2037,4,101164817.12949538
2037,5,101780605.62009493
2037,6,102400276.17167696
2037,7,103023853.75720568
2037,8,103651363.5125614
2037,9,104282830.73761664
2037,10,104918280.89731884
2037,11,105557739.62278073
2037,12,106201232.71237786
2038,1,106848786.13285336
2038,2,107500426.02043036
2038,3,108156178.68193142
2038,4,108816070.59590596
2038,5,109480128.41376483
2038,6,110148378.96092264
