,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore
11508,Chesapeake Utilities Corp,United States,7/15/2021, CPK,10000,121.5400009,1215400.009,0.361111111
11573,Chesapeake Utilities Corp,United States,8/9/2021, CPK,10000,131.5899963,1315899.963,0.361111111
11638,Chesapeake Utilities Corp,United States,9/2/2021, CPK,10000,133.3999939,1333999.939,0.361111111
11703,Chesapeake Utilities Corp,United States,9/9/2021, CPK,10000,132.6499939,1326499.939,0.361111111
11769,Chesapeake Utilities Corp,United States,10/19/2021, CPK,10000,127.4199982,1274199.982,0.361111111
11835,Chesapeake Utilities Corp,United States,10/29/2021, CPK,10000,131.3800049,1313800.049,0.361111111
11900,Chesapeake Utilities Corp,United States,12/14/2021, CPK,10000,138.2400055,1382400.055,0.361111111
11965,Chesapeake Utilities Corp,United States,1/25/2022, CPK,10000,134.6699982,1346699.982,0.361111111
12030,Chesapeake Utilities Corp,United States,2/9/2022, CPK,10000,132.9400024,1329400.024,0.361111111
12096,Chesapeake Utilities Corp,United States,2/16/2022, CPK,10000,129.9100037,1299100.037,0.361111111
12162,Chesapeake Utilities Corp,United States,3/16/2022, CPK,10000,137.3999939,1373999.939,0.361111111
12228,Chesapeake Utilities Corp,United States,4/11/2022, CPK,10000,140.1600037,1401600.037,0.361111111
12294,Chesapeake Utilities Corp,United States,5/11/2022, CPK,10000,130.0,1300000.0,0.361111111
12360,Chesapeake Utilities Corp,United States,6/14/2022, CPK,10000,124.0400009,1240400.009,0.361111111
12426,Chesapeake Utilities Corp,United States,7/15/2022, CPK,10000,128.4299927,1284299.927,0.361111111
12492,Chesapeake Utilities Corp,United States,8/8/2022, CPK,10000,135.0099945,1350099.945,0.361111111
12559,Chesapeake Utilities Corp,United States,9/14/2022, CPK,10000,127.6800003,1276800.003,0.361111111
12626,Chesapeake Utilities Corp,United States,10/19/2022, CPK,10000,120.6100006,1206100.006,0.361111111
12692,Chesapeake Utilities Corp,United States,11/9/2022, CPK,10000,109.4800034,1094800.034,0.361111111
12758,Chesapeake Utilities Corp,United States,12/16/2022, CPK,10000,117.1900024,1171900.024,0.361111111
12825,Chesapeake Utilities Corp,United States,1/27/2023, CPK,10000,124.6200027,1246200.027,0.361111111
12895,Chesapeake Utilities Corp,United States,2/8/2023, CPK,10000,124.5299988,1245299.988,0.361111111
12965,Chesapeake Utilities Corp,United States,2/24/2023, CPK,10000,128.1399994,1281399.994,0.361111111
13035,Chesapeake Utilities Corp,United States,3/9/2023, CPK,10000,127.5899963,1275899.963,0.361111111
4177,Zhejiang Expressway Co Ltd,China,4/14/2020, ZHEXF,10000,0.779999971,7799.99971,0.396825397
4250,Zhejiang Expressway Co Ltd,China,5/19/2020, ZHEXF,10000,0.74000001,7400.0001,0.396825397
4323,Zhejiang Expressway Co Ltd,China,6/10/2020, ZHEXF,10000,0.699999988,6999.99988,0.396825397
4396,Zhejiang Expressway Co Ltd,China,7/16/2020, ZHEXF,10000,0.790000021,7900.00021,0.396825397
4469,Zhejiang Expressway Co Ltd,China,8/11/2020, ZHEXF,10000,0.819999993,8199.99993,0.396825397
4518,Zhejiang Expressway Co Ltd,China,9/28/2020, ZHEXF,10000,0.75999999,7599.9999,0.396825397
