CreatedDate,Invested_Value
2034-02-09,80410354.21932738
2034-03-09,80895622.85921283
2034-04-09,81383935.36833961
2034-05-09,81875311.25962737
2034-06-09,82369770.17291145
2034-07-09,82867331.87577854
2034-08-09,83368016.26440765
2034-09-09,83871843.36441691
2034-10-09,84378833.33171585
2034-11-09,84889006.4533634
2034-12-09,85402383.14843173
2035-01-09,85918983.9688756
2035-02-09,86438829.60040778
2035-03-09,86961940.86338013
2035-04-09,87488338.71367061
2035-05-09,88018044.24357615
2035-06-09,88551078.68271162
2035-07-09,89087463.3989146
2035-08-09,89627219.89915635
2035-09-09,90170369.83045875
2035-10-09,90716934.98081742
2035-11-09,91266937.28013095
2035-12-09,91820398.80113639
2036-01-09,92377341.76035091
2036-02-09,92937788.51901977
2036-03-09,93501761.58407071
2036-04-09,94069283.60907452
2036-05-09,94640377.39521217
2036-06-09,95215065.89224844
2036-07-09,95793372.19951175
2036-08-09,96375319.56688106
2036-09-09,96960931.39577876
2036-10-09,97550231.24017057
2036-11-09,98143242.80757213
2036-12-09,98739989.9600621
2037-01-09,99340496.71530214
2037-02-09,99944787.24756372
2037-03-09,100552885.88876182
2037-04-09,101164817.12949538
2037-05-09,101780605.62009491
2037-06-09,102400276.17167696
2037-07-09,103023853.75720567
2037-08-09,103651363.51256141
2037-09-09,104282830.73761664
2037-10-09,104918280.89731884
2037-11-09,105557739.62278073
2037-12-09,106201232.71237786
2038-01-09,106848786.13285337
2038-02-09,107500426.02043036
2038-03-09,108156178.68193142
2038-04-09,108816070.59590596
2038-05-09,109480128.41376483
2038-06-09,110148378.96092264
2038-07-09,110820849.23794773
2038-08-09,111497566.4217198
