,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore,Climate
13357,,,2/16/2022,TTM,10000,0,0,0,
13358,,,3/16/2022,TTM,10000,0,0,0,
13359,,,04-11-2022,TTM,10000,0,0,0,
13360,,,7/15/2022,TTM,10000,0,0,0,
13361,,,08-08-2022,TTM,10000,0,0,0,
13362,,,9/14/2022,TTM,10000,0,0,0,
13363,,,10/19/2022,TTM,10000,0,0,0,
13364,,,11-09-2022,TTM,10000,0,0,0,
13365,,,12/16/2022,TTM,10000,0,0,0,
13366,,,1/27/2023,TTM,10000,0,0,0,
13367,,,02-08-2023,TTM,10000,0,0,0,
13368,,,03-09-2023,TTM,10000,0,0,0,
13369,,,4/14/2020,TUYA,10000,0,0,0,
13370,,,5/19/2020,TUYA,10000,0,0,0,
13371,,,06-10-2020,TUYA,10000,0,0,0,
13372,,,7/16/2020,TUYA,10000,0,0,0,
13373,,,08-11-2020,TUYA,10000,0,0,0,
13374,,,9/28/2020,TUYA,10000,0,0,0,
13375,,,11-11-2020,TUYA,10000,0,0,0,
13376,,,1/21/2021,TUYA,10000,0,0,0,
13377,,,03-03-2021,TUYA,10000,0,0,0,
13378,,,04-01-2021,TUYA,10000,24,240000,0,
13379,,,05-03-2021,TUYA,10000,19.93000031,199300.0031,0,
13380,,,7/15/2021,TUYA,10000,20.71999931,207199.9931,0,
13381,,,08-09-2021,TUYA,10000,20.20000076,202000.0076,0,
13382,,,09-02-2021,TUYA,10000,13.39999962,133999.9962,0,
13383,,,10/19/2021,TUYA,10000,8.409999847,84099.99847,0,
13384,,,12/14/2021,TUYA,10000,6.690000057,66900.00057,0,
13385,,,1/25/2022,TUYA,10000,5.724999905,57249.99905,0,
13386,,,2/16/2022,TUYA,10000,6.429999828,64299.99828,0,
13387,,,3/16/2022,TUYA,10000,2.950000048,29500.00048,0,
13388,,,04-11-2022,TUYA,10000,3.069999933,30699.99933,0,
13389,,,7/15/2022,TUYA,10000,2.109999895,21099.99895,0,
13390,,,08-08-2022,TUYA,10000,1.889999986,18899.99986,0,
