Ticker,CreatedDate,Quantity,Stock_Price,Invested_Value,ESGScore,Climate,Country,Company,Latitude
LTOUF,11-11-2020,10000,11.30000019,113000.0019,0.396825397,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,1/21/2021,10000,18.5,185000,0.396825397,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,03-03-2021,10000,20.45000076,204500.0076,0.396825397,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,04-01-2021,10000,19.28000069,192800.0069,0.396825397,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,05-03-2021,10000,18.20000076,182000.0076,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,7/15/2021,10000,20,200000,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,08-09-2021,10000,22.47999954,224799.9954,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,09-02-2021,10000,21.75,217500,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,10/19/2021,10000,24.20000076,242000.0076,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,12/14/2021,10000,23.78000069,237800.0069,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,1/25/2022,10000,28.03000069,280300.0069,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,2/16/2022,10000,23.59000015,235900.0015,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,3/16/2022,10000,21.5,215000,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,04-11-2022,10000,25.40999985,254099.9985,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,7/15/2022,10000,18.85000038,188500.0038,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,08-08-2022,10000,20.59000015,205900.0015,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,9/14/2022,10000,26.15999985,261599.9985,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,10/19/2022,10000,22.60000038,226000.0038,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,11-09-2022,10000,23.65999985,236599.9985,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,12/16/2022,10000,25.68000031,256800.0031,0.793650794,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,1/27/2023,10000,26.71999931,267199.9931,0.396825397,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,02-08-2023,10000,26.71999931,267199.9931,0.396825397,Weapons,India,Larsen & Toubro Ltd,20.3484
LTOUF,03-09-2023,10000,26.92000008,269200.0008,0.396825397,Weapons,India,Larsen & Toubro Ltd,20.3484
LVMHF,4/14/2020,10000,394.9899902,3949899.902,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,5/19/2020,10000,393.5,3935000,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,06-10-2020,10000,455.9599915,4559599.915,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,7/16/2020,10000,470.2200012,4702200.012,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,08-11-2020,10000,455.4599915,4554599.915,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,9/28/2020,10000,475,4750000,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,11-11-2020,10000,578.2000122,5782000.122,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,1/21/2021,10000,624.6500244,6246500.244,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,03-03-2021,10000,660,6600000,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,04-01-2021,10000,689.25,6892500,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,05-03-2021,10000,764.1199951,7641199.951,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,7/15/2021,10000,797.710022,7977100.22,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,08-09-2021,10000,844.9000244,8449000.244,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,09-02-2021,10000,784,7840000,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,10/19/2021,10000,756.2600098,7562600.098,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,12/14/2021,10000,800.9899902,8009899.902,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,1/25/2022,10000,765.6900024,7656900.024,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,2/16/2022,10000,789.5700073,7895700.073,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,3/16/2022,10000,709.7600098,7097600.098,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,04-11-2022,10000,681,6810000,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
