,Ticker,CreatedDate,Stock_Price,Quantity,Invested_Value,ESGScore,Climate,Country,Company
128,JKS,8/9/2021,58.59000015,10000,585900.0015,,,Cayman Islands,JinkoSolar Holding Co Ltd
129,JKS,9/2/2021,55.99000168,10000,559900.0168,,,Cayman Islands,JinkoSolar Holding Co Ltd
130,JKS,10/19/2021,56.31999969,10000,563199.9969,,,Cayman Islands,JinkoSolar Holding Co Ltd
131,JKS,12/14/2021,45.81999969,10000,458199.9969,,,Cayman Islands,JinkoSolar Holding Co Ltd
132,JKS,1/25/2022,42.22000122,10000,422200.0122,,,Cayman Islands,JinkoSolar Holding Co Ltd
133,JKS,2/16/2022,44.86000061,10000,448600.0061,,,Cayman Islands,JinkoSolar Holding Co Ltd
134,JKS,3/16/2022,49.13000107,10000,491300.0107,,,Cayman Islands,JinkoSolar Holding Co Ltd
135,JKS,4/11/2022,50.83000183,10000,508300.0183,,,Cayman Islands,JinkoSolar Holding Co Ltd
136,JKS,7/15/2022,64.15000153,10000,641500.0153,,,Cayman Islands,JinkoSolar Holding Co Ltd
137,JKS,8/8/2022,62.86000061,10000,628600.0061,,,Cayman Islands,JinkoSolar Holding Co Ltd
138,JKS,9/14/2022,61.79999924,10000,617999.9924,,,Cayman Islands,JinkoSolar Holding Co Ltd
139,JKS,10/19/2022,46.16999817,10000,461699.9817,,,Cayman Islands,JinkoSolar Holding Co Ltd
140,JKS,11/9/2022,50.65000153,10000,506500.0153,,,Cayman Islands,JinkoSolar Holding Co Ltd
141,JKS,12/16/2022,55.22999954,10000,552299.9954,,,Cayman Islands,JinkoSolar Holding Co Ltd
142,JKS,1/27/2023,56.95000076,10000,569500.0076,,,Cayman Islands,JinkoSolar Holding Co Ltd
143,JKS,2/8/2023,55.45000076,10000,554500.0076,,,Cayman Islands,JinkoSolar Holding Co Ltd
144,JKS,3/9/2023,58.95999908,10000,589599.9908,,,Cayman Islands,JinkoSolar Holding Co Ltd
145, WWNTF,4/14/2020,0.600000024,10000,6000.00024,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
146, WWNTF,5/19/2020,0.600000024,10000,6000.00024,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
147, WWNTF,6/10/2020,0.600000024,10000,6000.00024,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
148, WWNTF,7/16/2020,0.600000024,10000,6000.00024,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
149, WWNTF,8/11/2020,0.600000024,10000,6000.00024,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
150, WWNTF,9/28/2020,0.709999979,10000,7099.99979,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
151, WWNTF,11/11/2020,0.699999988,10000,6999.99988,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
152, WWNTF,1/21/2021,0.699999988,10000,6999.99988,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
153, WWNTF,3/3/2021,0.699999988,10000,6999.99988,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
154, WWNTF,4/1/2021,0.769999981,10000,7699.99981,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
155, WWNTF,5/3/2021,0.769999981,10000,7699.99981,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
156, WWNTF,7/15/2021,0.670000017,10000,6700.00017,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
157, WWNTF,8/9/2021,0.699999988,10000,6999.99988,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
158, WWNTF,9/2/2021,0.709999979,10000,7099.99979,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
159, WWNTF,10/19/2021,0.709999979,10000,7099.99979,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
160, WWNTF,12/14/2021,0.870000005,10000,8700.00005,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
161, WWNTF,1/25/2022,0.939999998,10000,9399.99998,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
162, WWNTF,2/16/2022,1.019999981,10000,10199.99981,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
163, WWNTF,3/16/2022,1.019999981,10000,10199.99981,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
164, WWNTF,4/11/2022,1.019999981,10000,10199.99981,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
165, WWNTF,7/15/2022,0.839999974,10000,8399.99974,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
166, WWNTF,8/8/2022,0.839999974,10000,8399.99974,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
167, WWNTF,9/14/2022,0.689999998,10000,6899.99998,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
168, WWNTF,10/19/2022,0.639999986,10000,6399.99986,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
169, WWNTF,11/9/2022,0.639999986,10000,6399.99986,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
170, WWNTF,12/16/2022,0.709999979,10000,7099.99979,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
171, WWNTF,1/27/2023,0.689999998,10000,6899.99998,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
172, WWNTF,2/8/2023,0.689999998,10000,6899.99998,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
173, WWNTF,3/9/2023,0.589999974,10000,5899.99974,0.396825397,GenderEquality,Cayman Islands,Want Want China Holdings Ltd
174, ACA,4/14/2020,42.36000061,10000,423600.0061,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
175, ACA,5/19/2020,34.43999863,10000,344399.9863,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
176, ACA,6/10/2020,43.75,10000,437500.0,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
177, ACA,7/16/2020,43.97999954,10000,439799.9954,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
178, ACA,8/11/2020,47.02999878,10000,470299.9878,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
179, ACA,9/28/2020,44.68000031,10000,446800.0031,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
180, ACA,11/11/2020,54.72000122,10000,547200.0122,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
181, ACA,1/21/2021,62.29000092,10000,622900.0092,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
182, ACA,3/3/2021,58.74000168,10000,587400.0168,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
183, ACA,4/1/2021,65.83000183,10000,658300.0183,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
184, ACA,5/3/2021,64.27999878,10000,642799.9878,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
185, ACA,7/15/2021,54.84000015,10000,548400.0015,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
186, ACA,8/9/2021,51.40999985,10000,514099.9985,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
187, ACA,9/2/2021,51.47999954,10000,514799.9954,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
188, ACA,10/19/2021,52.18000031,10000,521800.0031,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
189, ACA,12/14/2021,55.40999985,10000,554099.9985,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
190, ACA,1/25/2022,49.16999817,10000,491699.9817,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
191, ACA,2/16/2022,48.02999878,10000,480299.9878,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
192, ACA,3/16/2022,58.79000092,10000,587900.0092,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
193, ACA,4/11/2022,55.77999878,10000,557799.9878,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
194, ACA,7/15/2022,46.22000122,10000,462200.0122,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
195, ACA,8/8/2022,63.22999954,10000,632299.9954,0.396825397,"Fossil,GenderEquality",France,Credit Agricole SA
